test_accuracy,final_k,k_ratio,n_prunes,time_sec,prune_rate,lambda_k,cooldown,plateau_tol,model,swept_param,seed,dataset
0.8500000238418579,2926,0.2926,29,9.243549823760986,0.05,0.15,3,0.003,A-SAND,prune_rate,42,arcene
0.8600000143051147,3412,0.3412,29,9.239298343658447,0.05,0.15,3,0.003,A-SAND,prune_rate,43,arcene
0.8399999737739563,1846,0.1846,34,9.290568828582764,0.05,0.15,3,0.003,A-SAND,prune_rate,44,arcene
0.8500000238418579,585,0.0585,30,9.201364994049072,0.1,0.15,3,0.003,A-SAND,prune_rate,42,arcene
0.8399999737739563,585,0.0585,29,9.23417067527771,0.1,0.15,3,0.003,A-SAND,prune_rate,43,arcene
0.8399999737739563,722,0.0722,28,9.19390058517456,0.1,0.15,3,0.003,A-SAND,prune_rate,44,arcene
0.8600000143051147,391,0.0391,24,9.166186332702637,0.15,0.15,3,0.003,A-SAND,prune_rate,42,arcene
0.8399999737739563,2318,0.2318,12,8.957970380783081,0.15,0.15,3,0.003,A-SAND,prune_rate,43,arcene
0.8100000023841858,206,0.0206,28,9.178643226623535,0.15,0.15,3,0.003,A-SAND,prune_rate,44,arcene
0.8700000047683716,5905,0.5905,13,8.979656457901001,0.1,0.1,3,0.003,A-SAND,lambda_k,42,arcene
0.8399999737739563,1219,0.1219,23,9.099170923233032,0.1,0.1,3,0.003,A-SAND,lambda_k,43,arcene
0.8100000023841858,650,0.065,28,9.21448826789856,0.1,0.1,3,0.003,A-SAND,lambda_k,44,arcene
0.7799999713897705,348,0.0348,34,9.751869916915894,0.1,0.15,3,0.003,A-SAND,lambda_k,42,arcene
0.8799999952316284,3876,0.3876,13,9.05858564376831,0.1,0.15,3,0.003,A-SAND,lambda_k,43,arcene
0.8500000238418579,4784,0.4784,15,9.044661283493042,0.1,0.15,3,0.003,A-SAND,lambda_k,44,arcene
0.8600000143051147,1671,0.1671,24,9.267035007476807,0.1,0.2,3,0.003,A-SAND,lambda_k,42,arcene
0.8799999952316284,1219,0.1219,23,9.169267892837524,0.1,0.2,3,0.003,A-SAND,lambda_k,43,arcene
0.8199999928474426,722,0.0722,28,9.188046932220459,0.1,0.2,3,0.003,A-SAND,lambda_k,44,arcene
0.8600000143051147,3141,0.3141,19,9.07150936126709,0.1,0.15,2,0.003,A-SAND,cooldown,42,arcene
0.8600000143051147,1671,0.1671,31,9.2347891330719,0.1,0.15,2,0.003,A-SAND,cooldown,43,arcene
0.8700000047683716,802,0.0802,27,9.178159713745117,0.1,0.15,2,0.003,A-SAND,cooldown,44,arcene
0.8299999833106995,1354,0.1354,23,9.093918800354004,0.1,0.15,3,0.003,A-SAND,cooldown,42,arcene
0.8100000023841858,722,0.0722,29,9.229659080505371,0.1,0.15,3,0.003,A-SAND,cooldown,43,arcene
0.8299999833106995,585,0.0585,30,9.269784927368164,0.1,0.15,3,0.003,A-SAND,cooldown,44,arcene
0.8199999928474426,2062,0.2062,18,9.032467365264893,0.1,0.15,5,0.003,A-SAND,cooldown,42,arcene
0.8700000047683716,2291,0.2291,16,9.034197568893433,0.1,0.15,5,0.003,A-SAND,cooldown,43,arcene
0.8600000143051147,2827,0.2827,18,9.114048719406128,0.1,0.15,5,0.003,A-SAND,cooldown,44,arcene
0.8500000238418579,650,0.065,31,9.955712080001831,0.1,0.15,3,0.001,A-SAND,plateau_tol,42,arcene
0.8500000238418579,2827,0.2827,33,9.360358953475952,0.1,0.15,3,0.001,A-SAND,plateau_tol,43,arcene
0.8700000047683716,3876,0.3876,12,9.0474534034729,0.1,0.15,3,0.001,A-SAND,plateau_tol,44,arcene
0.8500000238418579,989,0.0989,27,9.306082248687744,0.1,0.15,3,0.003,A-SAND,plateau_tol,42,arcene
0.8399999737739563,527,0.0527,30,9.249982595443726,0.1,0.15,3,0.003,A-SAND,plateau_tol,43,arcene
0.8100000023841858,989,0.0989,27,9.244398355484009,0.1,0.15,3,0.003,A-SAND,plateau_tol,44,arcene
0.8100000023841858,1098,0.1098,27,9.187658786773682,0.1,0.15,3,0.005,A-SAND,plateau_tol,42,arcene
0.7900000214576721,386,0.0386,32,9.219166994094849,0.1,0.15,3,0.005,A-SAND,plateau_tol,43,arcene
0.800000011920929,428,0.0428,32,9.24350380897522,0.1,0.15,3,0.005,A-SAND,plateau_tol,44,arcene
0.8600000143051147,2265,0.2265,33,10.694769382476807,0.05,0.15,3,0.003,A-SAND-Hybrid,prune_rate,42,arcene
0.8299999833106995,3080,0.308,30,10.664378643035889,0.05,0.15,3,0.003,A-SAND-Hybrid,prune_rate,43,arcene
0.8299999833106995,4638,0.4638,25,10.579639673233032,0.05,0.15,3,0.003,A-SAND-Hybrid,prune_rate,44,arcene
0.8100000023841858,9000,0.9,4,10.380255699157715,0.1,0.15,3,0.003,A-SAND-Hybrid,prune_rate,42,arcene
0.8100000023841858,4306,0.4306,12,10.392507076263428,0.1,0.15,3,0.003,A-SAND-Hybrid,prune_rate,43,arcene
0.800000011920929,1098,0.1098,27,11.335473537445068,0.1,0.15,3,0.003,A-SAND-Hybrid,prune_rate,44,arcene
0.800000011920929,5221,0.5221,7,10.429255723953247,0.15,0.15,3,0.003,A-SAND-Hybrid,prune_rate,42,arcene
0.7599999904632568,459,0.0459,29,10.680272102355957,0.15,0.15,3,0.003,A-SAND-Hybrid,prune_rate,43,arcene
0.7799999713897705,1676,0.1676,17,10.509433507919312,0.15,0.15,3,0.003,A-SAND-Hybrid,prune_rate,44,arcene
0.8199999928474426,650,0.065,30,10.736775398254395,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,42,arcene
0.8199999928474426,3876,0.3876,18,10.484309434890747,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,43,arcene
0.7699999809265137,10000,1.0,3,10.310625553131104,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,44,arcene
0.8199999928474426,1504,0.1504,26,10.710556507110596,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,42,arcene
0.8100000023841858,3876,0.3876,14,10.460790395736694,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,43,arcene
0.7900000214576721,585,0.0585,31,10.83307147026062,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,44,arcene
0.8199999928474426,2062,0.2062,26,10.884647607803345,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,42,arcene
0.8199999928474426,5315,0.5315,11,10.69015097618103,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,43,arcene
0.7900000214576721,9000,0.9,4,10.57768726348877,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,44,arcene
0.800000011920929,8100,0.81,5,11.302464723587036,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,42,arcene
0.8299999833106995,802,0.0802,28,10.88150930404663,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,43,arcene
0.8100000023841858,6561,0.6561,9,10.544626235961914,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,44,arcene
0.8500000238418579,802,0.0802,31,10.898260354995728,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,42,arcene
0.8100000023841858,891,0.0891,30,10.743888139724731,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,43,arcene
0.8299999833106995,1098,0.1098,29,10.634377241134644,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,44,arcene
